"Source","Target","Interaction_Type","Confidence","Dataset_Size","Optimization_Applied","Analysis_Date"
"19","29","Amensalism",52,"112x4","Yes",2025-08-21
"19","30","Amensalism",52,"112x4","Yes",2025-08-21
"19","31","Amensalism",52,"112x4","Yes",2025-08-21
"20","29","Amensalism",52,"112x4","Yes",2025-08-21
"20","30","Amensalism",52,"112x4","Yes",2025-08-21
"20","31","Amensalism",52,"112x4","Yes",2025-08-21
"21","29","Amensalism",52,"112x4","Yes",2025-08-21
"21","30","Amensalism",52,"112x4","Yes",2025-08-21
"21","31","Amensalism",52,"112x4","Yes",2025-08-21
"22","29","Amensalism",52,"112x4","Yes",2025-08-21
"22","30","Amensalism",52,"112x4","Yes",2025-08-21
"22","31","Amensalism",52,"112x4","Yes",2025-08-21
"28","29","Commensalism",52,"112x4","Yes",2025-08-21
"28","30","Commensalism",52,"112x4","Yes",2025-08-21
"28","31","Commensalism",52,"112x4","Yes",2025-08-21
"28","45","Commensalism",52,"112x4","Yes",2025-08-21
"28","4","Commensalism",52,"112x4","Yes",2025-08-21
"28","6","Commensalism",52,"112x4","Yes",2025-08-21
"28","7","Commensalism",52,"112x4","Yes",2025-08-21
"28","8","Commensalism",52,"112x4","Yes",2025-08-21
"90","28","Commensalism",52,"112x4","Yes",2025-08-21
"90","29","Commensalism",69,"112x4","Yes",2025-08-21
"90","30","Commensalism",69,"112x4","Yes",2025-08-21
"90","31","Commensalism",69,"112x4","Yes",2025-08-21
"90","45","Commensalism",52,"112x4","Yes",2025-08-21
"90","4","Commensalism",52,"112x4","Yes",2025-08-21
"90","6","Commensalism",52,"112x4","Yes",2025-08-21
"90","7","Commensalism",52,"112x4","Yes",2025-08-21
"90","8","Commensalism",52,"112x4","Yes",2025-08-21
