,numeric_id,otu_id,species_name,unique_name
0,0,21,19,33
1,2,26,6,12
2,3,58,7,14
3,6,22,28,49
4,7,46,25,46
5,9,44,20,34
6,11,27,6,13
7,13,92,34,55
8,14,96,16,30
9,15,20,91,116
10,16,82,5,9
11,17,97,100,133
12,20,32,93,123
13,23,18,24,44
14,24,78,0,0
15,25,79,9,20
16,26,43,30,51
17,27,29,22,40
18,28,31,93,122
19,29,19,24,45
20,30,99,99,132
21,31,45,20,35
22,34,57,27,48
23,36,89,32,53
24,37,33,4,7
25,39,91,104,138
26,40,80,15,28
27,41,40,38,59
28,43,90,39,61
29,44,28,13,24
30,45,93,92,117
31,47,83,94,124
32,49,71,5,8
33,50,85,31,52
34,51,23,93,120
35,52,41,36,57
36,53,42,33,54
37,54,30,93,121
38,56,24,6,10
39,57,55,9,19
40,58,5,11,22
41,59,76,39,60
42,60,12,102,135
43,62,34,35,56
44,63,88,104,137
45,64,25,6,11
46,65,81,15,29
47,68,84,29,50
48,69,64,97,128
49,70,9,101,134
50,72,66,12,23
51,73,39,96,127
52,74,54,8,18
53,76,59,14,25
54,77,56,40,62
55,78,77,103,136
56,79,14,2,2
57,82,60,14,26
58,99,95,92,119
59,101,98,18,32
60,106,10,90,114
61,113,36,3,4
62,114,11,90,115
63,134,15,98,129
64,156,86,107,146
65,171,8,41,65
66,190,63,1,1
67,211,67,21,36
68,213,94,92,118
69,230,62,106,144
70,239,47,23,41
71,254,0,105,139
72,265,2,105,141
73,285,74,21,38
74,344,13,37,58
75,370,65,106,145
76,372,51,8,15
77,373,53,8,17
78,377,52,8,16
79,383,87,107,147
80,428,72,21,37
81,446,7,41,64
82,491,35,3,3
83,510,6,41,63
84,644,75,21,39
85,645,73,26,47
86,675,37,3,5
87,680,61,14,27
88,682,70,17,31
89,691,50,10,21
90,736,68,95,125
91,754,69,95,126
92,764,38,3,6
93,964,3,105,142
94,1154,16,98,130
95,1225,1,105,140
96,1299,49,23,43
97,1328,4,105,143
98,1331,48,23,42
99,1500,17,98,131
100,1,100,42,66
101,4,133,75,99
102,19,130,72,96
103,21,131,73,97
104,38,132,74,98
105,42,134,76,100
106,48,135,77,101
107,55,136,78,102
108,66,137,79,103
109,67,138,80,104
110,80,139,81,105
111,81,140,82,106
112,84,141,83,107
113,89,142,84,108
114,90,143,85,109
115,91,144,86,110
116,92,145,87,111
117,94,146,88,112
118,97,147,89,113
119,100,101,43,67
120,102,102,44,68
121,103,103,45,69
122,104,104,46,70
123,105,105,47,71
124,107,106,48,72
125,108,107,49,73
126,109,108,50,74
127,110,109,51,75
128,116,110,52,76
129,117,111,53,77
130,118,112,54,78
131,119,113,55,79
132,120,114,56,80
133,123,115,57,81
134,125,116,58,82
135,126,117,59,83
136,127,118,60,84
137,128,119,61,85
138,130,120,62,86
139,131,121,63,87
140,133,122,64,88
141,137,123,65,89
142,139,124,66,90
143,140,125,67,91
144,142,126,68,92
145,144,127,69,93
146,147,128,70,94
147,148,129,71,95
