"sp1","sp2","lnk","comp"
"19","29","Amensalism",52
"19","30","Amensalism",52
"19","31","Amensalism",52
"20","29","Amensalism",52
"20","30","Amensalism",52
"20","31","Amensalism",52
"21","29","Amensalism",52
"21","30","Amensalism",52
"21","31","Amensalism",52
"22","29","Amensalism",52
"22","30","Amensalism",52
"22","31","Amensalism",52
"28","29","Commensalism",52
"28","30","Commensalism",52
"28","31","Commensalism",52
"28","45","Commensalism",52
"28","4","Commensalism",52
"28","6","Commensalism",52
"28","7","Commensalism",52
"28","8","Commensalism",52
"90","28","Commensalism",52
"90","29","Commensalism",69
"90","30","Commensalism",69
"90","31","Commensalism",69
"90","45","Commensalism",52
"90","4","Commensalism",52
"90","6","Commensalism",52
"90","7","Commensalism",52
"90","8","Commensalism",52
