"Source","Target","Interaction_Type","Confidence","Dataset_Size","Optimization_Applied","Analysis_Date"
"0","9","Commensalism",241,"112x5","Yes",2025-08-28
"0","102","Amensalism",181,"112x5","Yes",2025-08-28
"0","105","Amensalism",181,"112x5","Yes",2025-08-28
"0","108","Amensalism",181,"112x5","Yes",2025-08-28
"0","10","Commensalism",241,"112x5","Yes",2025-08-28
"0","111","Amensalism",181,"112x5","Yes",2025-08-28
"0","11","Commensalism",241,"112x5","Yes",2025-08-28
"0","12","Commensalism",241,"112x5","Yes",2025-08-28
"0","13","Commensalism",181,"112x5","Yes",2025-08-28
"0","14","Commensalism",241,"112x5","Yes",2025-08-28
"0","15","Commensalism",241,"112x5","Yes",2025-08-28
"0","16","Commensalism",241,"112x5","Yes",2025-08-28
"0","17","Commensalism",241,"112x5","Yes",2025-08-28
"0","18","Commensalism",241,"112x5","Yes",2025-08-28
"0","1","Commensalism",241,"112x5","Yes",2025-08-28
"0","19","Commensalism",181,"112x5","Yes",2025-08-28
"0","21","Commensalism",181,"112x5","Yes",2025-08-28
"0","24","Commensalism",241,"112x5","Yes",2025-08-28
"0","26","Commensalism",181,"112x5","Yes",2025-08-28
"0","2","Commensalism",241,"112x5","Yes",2025-08-28
"0","32","Commensalism",181,"112x5","Yes",2025-08-28
"0","34","Commensalism",181,"112x5","Yes",2025-08-28
"0","3","Commensalism",241,"112x5","Yes",2025-08-28
"0","4","Commensalism",181,"112x5","Yes",2025-08-28
"0","5","Commensalism",241,"112x5","Yes",2025-08-28
"0","6","Commensalism",181,"112x5","Yes",2025-08-28
"0","7","Commensalism",181,"112x5","Yes",2025-08-28
"0","8","Commensalism",181,"112x5","Yes",2025-08-28
"0","90","Amensalism",241,"112x5","Yes",2025-08-28
"0","94","Amensalism",181,"112x5","Yes",2025-08-28
"0","95","Amensalism",181,"112x5","Yes",2025-08-28
"0","96","Amensalism",181,"112x5","Yes",2025-08-28
"0","97","Amensalism",181,"112x5","Yes",2025-08-28
"0","98","Amensalism",181,"112x5","Yes",2025-08-28
"19","13","Amensalism",181,"112x5","Yes",2025-08-28
"19","1","Amensalism",181,"112x5","Yes",2025-08-28
"19","2","Amensalism",181,"112x5","Yes",2025-08-28
"19","29","Amensalism",181,"112x5","Yes",2025-08-28
"19","30","Amensalism",181,"112x5","Yes",2025-08-28
"19","31","Amensalism",181,"112x5","Yes",2025-08-28
"19","3","Amensalism",181,"112x5","Yes",2025-08-28
"19","4","Amensalism",241,"112x5","Yes",2025-08-28
"19","5","Amensalism",181,"112x5","Yes",2025-08-28
"19","6","Amensalism",181,"112x5","Yes",2025-08-28
"19","7","Amensalism",181,"112x5","Yes",2025-08-28
"19","8","Amensalism",181,"112x5","Yes",2025-08-28
"20","13","Amensalism",181,"112x5","Yes",2025-08-28
"20","1","Amensalism",181,"112x5","Yes",2025-08-28
"20","2","Amensalism",181,"112x5","Yes",2025-08-28
"20","29","Amensalism",181,"112x5","Yes",2025-08-28
"20","30","Amensalism",181,"112x5","Yes",2025-08-28
"20","31","Amensalism",181,"112x5","Yes",2025-08-28
"20","3","Amensalism",181,"112x5","Yes",2025-08-28
"20","4","Amensalism",241,"112x5","Yes",2025-08-28
"20","5","Amensalism",181,"112x5","Yes",2025-08-28
"20","6","Amensalism",181,"112x5","Yes",2025-08-28
"20","7","Amensalism",181,"112x5","Yes",2025-08-28
"20","8","Amensalism",181,"112x5","Yes",2025-08-28
"21","13","Amensalism",181,"112x5","Yes",2025-08-28
"21","1","Amensalism",181,"112x5","Yes",2025-08-28
"21","2","Amensalism",181,"112x5","Yes",2025-08-28
"21","29","Amensalism",181,"112x5","Yes",2025-08-28
"21","30","Amensalism",181,"112x5","Yes",2025-08-28
"21","31","Amensalism",181,"112x5","Yes",2025-08-28
"21","3","Amensalism",181,"112x5","Yes",2025-08-28
"21","4","Amensalism",241,"112x5","Yes",2025-08-28
"21","5","Amensalism",181,"112x5","Yes",2025-08-28
"21","6","Amensalism",181,"112x5","Yes",2025-08-28
"21","7","Amensalism",181,"112x5","Yes",2025-08-28
"21","8","Amensalism",181,"112x5","Yes",2025-08-28
