"sp1","sp2","lnk","comp"
91,24,"Mutualism",4692
120,19,"Mutualism",4680
119,37,"Mutualism",4674
63,1,"Mutualism",4659
4,24,"Commensalism",4651
4,1,"Commensalism",4651
7,4,"Mutualism",4651
90,50,"Mutualism",4651
92,58,"Mutualism",4651
110,50,"Mutualism",4651
69,37,"Mutualism",4642
24,0,"Mutualism",4633
1,31,"Amensalism",4633
63,110,"Commensalism",4633
82,26,"Commensalism",4633
84,3,"Commensalism",4633
89,47,"Mutualism",4633
91,0,"Commensalism",4633
100,34,"Commensalism",4633
119,50,"Mutualism",4633
125,34,"Commensalism",4633
1,134,"Amensalism",4622
63,60,"Amensalism",4622
65,79,"Amensalism",4622
69,50,"Mutualism",4622
76,60,"Amensalism",4622
78,7,"Mutualism",4622
9,24,"Mutualism",4622
100,79,"Amensalism",4622
107,58,"Competition",4622
125,79,"Amensalism",4622
125,100,"Mutualism",4622
128,80,"Mutualism",4622
137,3,"Commensalism",4611
137,90,"Commensalism",4611
139,3,"Commensalism",4611
144,48,"Commensalism",4611
148,90,"Commensalism",4611
19,123,"Amensalism",4611
1,123,"Amensalism",4611
37,24,"Commensalism",4611
48,37,"Mutualism",4611
49,80,"Commensalism",4611
50,31,"Amensalism",4611
50,37,"Mutualism",4611
55,37,"Commensalism",4611
4,123,"Amensalism",4611
69,48,"Mutualism",4611
81,37,"Commensalism",4611
90,31,"Amensalism",4611
90,37,"Mutualism",4611
97,26,"Commensalism",4611
97,1,"Competition",4611
97,60,"Commensalism",4611
13,28,"Mutualism",4611
102,24,"Commensalism",4611
110,31,"Amensalism",4611
110,37,"Commensalism",4611
113,65,"Mutualism",4611
117,47,"Commensalism",4611
120,126,"Commensalism",3883
55,0,"Commensalism",4368
89,76,"Commensalism",4530
127,63,"Commensalism",4045
131,142,"Commensalism",3883
133,109,"Commensalism",4530
128,17,"Commensalism",3883
119,103,"Commensalism",4045
42,50,"Commensalism",4550
40,133,"Commensalism",3883
44,45,"Amensalism",3883
39,123,"Amensalism",4412
44,113,"Amensalism",3883
70,109,"Amensalism",4045
45,97,"Amensalism",4045
91,38,"Amensalism",3883
4,55,"Amensalism",4449
27,131,"Amensalism",3883
90,114,"Amensalism",4480
70,79,"Amensalism",4368
62,47,"Mutualism",3883
62,55,"Mutualism",3883
116,140,"Mutualism",4160
118,7,"Mutualism",4160
90,62,"Mutualism",4160
14,103,"Mutualism",4160
91,9,"Mutualism",4507
104,76,"Mutualism",4247
94,38,"Mutualism",4160
99,67,"Competition",4247
21,148,"Competition",3883
127,9,"Competition",4314
50,38,"Competition",4247
108,147,"Competition",4045
49,41,"Competition",4449
94,66,"Competition",4314
107,66,"Competition",4314
134,105,"Competition",4507
130,3,"Competition",4247
