"Var.1","06_18-Ray-GS-b3","06_18-Ray-G-c5","06_18-Fro-GS-a1","05_07_18-SenV-a7","05_07_18-Ger-a5","05_07_18-OrgeS-a5","05_07_18-Patur-a5","03_18-Soi-S-b2","05_07_18-Patur-a6","05_07_18-Patur-a4","06_18-Fro-GS-c3","05_07_18-Patur-a3","06_18-Fro-G-b3","05_07_18-SenV-a4","05_07_18-Patur-a7","06_18-Ray-GS-c5","05_07_18-OrgeS-a4","06_18-Ray-GS-a3","05_07_18-Ger-a4","06_18-Fro-GS-c4","06_18-Fro-GS-a3","06_18-Ray-G-b5","06_18-Cel-S-c2","06_18-Ray-G-a2","06_18-Ray-G-c4","06_18-Ray-GS-c4","06_18-Ray-G-a5","05_07_18-Ger-a3","06_18-Fro-GS-b1","05_07_18-PLaL-a3","06_18-Soi-GS-c2","06_18-Fro-GS-b3","06_18-Ray-G-b3","05_07_18-Ger-a2","06_18-Cel-GS-c5","06_18-Apa-GS-c2","05_07_18-OrgeS-a6","03_18-Soi-S-c3","06_18-Fro-G-a5","06_18-Fro-G-a2","06_18-Fro-GS-a5","06_18-Apa-S-c3","06_18-Soi-GS-c3","06_18-Apa-GS-c5","06_18-Apa-GS-c3","05_07_18-SenV-a5","05_07_18-SenV-a2","06_18-Fro-G-c3","05_07_18-OrgeS-a3","06_18-Apa-GS-c4","06_18-Soi-S-b1","06_18-Cel-S-c5","06_18-Cel-GS-c1","06_18-Fro-GS-a2","06_18-Cel-S-b1","06_18-Soi-S-c4","06_18-Soi-GS-c4","05_18-Apa-S-c4","05_07_18-PLaL-a7","05_07_18-Patur-a2","06_18-Cel-S-c3","06_18-Ray-GS-a2","05_07_18-PLaL-a6","05_07_18-OrgeS-a7","06_18-Cel-S-a2","03_18-Soi-GS-c3","06_18-Ray-GS-a4","06_18-Soi-S-b2","06_18-Cel-S-b4","03_18-Apa-S-b1","06_18-Cel-S-b5","06_18-Ray-GS-c2","06_18-Apa-GS-a1","03_18-Soi-S-c4","06_18-Fro-G-a4","06_18-Cel-GS-c3","06_18-Ray-G-a3","06_18-Cel-S-c4","06_18-Apa-GS-c1","06_18-Ray-GS-a5","06_18-Cel-GS-c4","06_18-Fro-G-a3","06_18-Apa-S-a1","06_18-Cel-S-a4","03_18-Soi-GS-c4","03_18-Cel-S-c2","06_18-Apa-GS-a2","06_18-Cel-GS-c2","06_18-Soi-GS-c1","03_18-Cel-S-b2","06_18-Ray-GS-b5","06_18-Apa-S-b3","03_18-Cel-S-c4","06_18-Apa-S-a2","05_18-Apa-S-b2","06_18-Ray-GS-c3","06_18-Cel-GS-b3","06_18-Cel-GS-b2","06_18-Apa-S-a3","05_07_18-PLaL-a2"
843,44190,1966,395,168,3774,0,11494,0,0,174,0,1263,1617,2362,0,32018,32660,466,1703,0,2505,0,2299,147,647,839,7243,3632,0,322,359,0,3281,0,1375,460,1971,0,0,205,0,565,0,21288,535,1319,109,8774,965,0,378,766,1081,0,175,2186,0,0,0,0,4203,849,0,813,302,0,6582,337,2362,0,1874,1269,203,0,448,7681,502,1188,3972,1621,449,436,434,370,0,0,0,179,0,0,6868,118,0,447,0,1144,100,0,0,0
1258,184,3225,2525,3278,1300,0,261,27133,160,120,374,0,3299,2389,193,0,291,17870,2216,623,1246,0,106,2047,926,571,1881,848,335,0,1637,1016,1404,104,0,0,1493,6984,1696,547,182,0,341,0,0,1679,2167,1327,1667,0,619,0,236,695,110,0,1407,0,0,162,0,1535,313,112,0,31628,863,0,0,180,0,1602,0,673,1189,0,1587,0,0,1206,0,1256,0,0,13667,435,0,0,0,0,273,0,144,0,76,1261,391,0,0,0
439,8501,235,92,0,932,0,0,0,0,0,0,0,103,183,0,6523,6632,73,164,0,340,46953,0,49,521,38,54,46,0,35,72,0,230,0,563,62,283,0,229,105,0,251,0,3963,131,138,549,2083,93,0,50,194,120,0,0,811,0,0,0,0,4248,284,0,210,80,0,0,0,167,0,0,169,56,0,567,273,99,130,547,35,137,0,87,37,0,0,0,0,0,0,963,0,0,0,0,0,0,0,0,0
1162,0,1067,871,0,567,0,0,8625,0,0,0,0,0,0,0,1592,0,4392,578,0,713,0,5269,0,0,0,1008,0,0,0,337,0,1945,0,2856,3441,314,2076,0,0,0,8299,3554,0,468,0,0,2133,0,0,3002,2491,239,0,2241,12356,959,0,0,0,1768,0,0,0,0,0,13695,3814,2670,0,474,326,3256,18893,0,489,294,0,1136,305,5642,394,3966,7485,0,2830,470,3778,3309,10518,412,1919,0,498,0,0,745,12216,4901,0
1429,0,0,65,228,1407,0,0,0,0,0,0,87,0,261,0,321,0,0,161,0,0,0,20557,0,241,189,57,100,0,0,279,0,79,0,11054,843,663,0,0,63,0,0,834,0,0,1883,160,0,0,0,1027,1217,1718,0,3912,2026,435,0,0,0,7867,0,0,0,1024,0,408,233,6208,0,9220,0,13472,0,662,451,70,14579,0,191,940,5058,5102,15076,0,0,455,322,0,0,114,0,0,728,0,85,875,2214,13330,0
228,161,2541,35166,2030,1039,809,267,0,441,1338,6493,382,3527,2099,3622,206,141,0,1158,1294,6085,0,187,579,733,685,2762,665,465,693,138,2333,912,361,384,482,1114,0,1152,2903,896,4362,0,0,0,4448,1383,636,4076,663,1200,0,5932,256,214,0,188,0,157,79,609,185,190,217,144,0,0,0,794,0,888,399,1095,0,1170,1061,917,179,0,850,254,964,389,201,0,0,164,156,0,0,566,721,0,45,0,1078,2932,44,589,172
646,110,4221,1706,354,2384,124,5186,1191,10699,5246,3604,4136,2662,3151,2861,0,223,1353,2815,2507,3992,0,1250,1498,2922,1267,2693,1856,7341,727,4641,4138,2422,24872,3632,727,3139,184,1134,2089,2723,4499,8628,94,160,1492,1042,994,610,4313,2881,434,1518,2354,316,418,2714,0,1402,4318,1063,1544,2551,4132,942,240,472,939,479,381,763,2121,1475,0,2036,2099,1799,335,5806,0,987,1505,3320,265,1951,7703,1577,660,1782,275,974,185,517,2163,594,1324,712,254,584,462
866,307,1344,30,0,28,33363,0,0,0,0,0,0,379,215,0,0,43,50,34,0,59,0,25,0,176,76,0,851,0,54,0,0,81,0,86,0,618,0,0,0,0,0,0,0,0,40,45,7223,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,25,0,0,0,0,54,0,435,46,586,0,25,16,45,0,0,603,0,159,0,186,0,0,0,35,0,0,351,0,0,108,0,0,0,0,0,0
948,173,523,630,344,573,0,1766,3827,1663,4418,243,3074,818,428,3806,0,131,0,1288,4481,504,0,1226,733,348,343,456,366,9045,115,1493,5928,381,2172,1686,18167,700,93,1323,3951,3491,5703,251,88,11116,317,525,258,933,435,298,336,1811,1328,830,0,4929,4853,1020,4017,273,482,568,287,791,185,0,267,276,7987,864,326,1028,1298,1150,327,773,1122,1771,297,2015,162,1069,87,7865,1773,0,1774,794,157,154,422,1546,435,4733,512,3327,384,190,0
0,1483,7129,5634,4052,4111,386,2718,0,2794,1581,7193,1697,5418,8892,2217,0,818,585,5758,4558,3023,0,2086,2165,4463,3575,3547,2761,1668,1354,9279,2587,5766,643,8966,325,3755,0,3481,2482,3504,106,4970,0,1215,2620,11584,1476,3255,5442,2065,896,517,897,220,744,3902,245,527,1420,1393,2147,432,3617,624,0,990,1344,458,1912,1430,3013,934,0,2642,4017,4422,818,257,3116,488,3005,170,551,0,1092,2701,1525,1270,522,1390,0,1963,1393,966,3351,2147,0,309,325
81,447,3329,1283,13142,2792,113,7436,151,12111,6977,838,7676,5468,2922,8383,70,317,63,3445,431,1101,0,0,3560,7401,9179,1716,1850,135,993,414,294,2283,275,0,0,2122,99,4984,669,196,0,60,0,128,1550,2528,1445,2470,266,121,65,302,400,0,0,591,208,401,4023,57,1828,1370,2417,169,0,0,59,58,398,0,1494,96,67,2058,54,1535,0,0,586,109,1375,0,0,963,121,495,331,239,0,2112,0,625,0,163,2075,631,70,0,332
